question,answer
 How Can I Learn To Accept My Diabetes?,"
Accepting that you have diabetes is largely an act of cognition—a realignment of what you view as real and vital to your existence and how it can impact your life. Diabetes becomes an integral part of a person’s life. “While we all wish it would simply go away, this isn’t possible—yet,” says David Marrero, Ph.D., who has diabetes and is the director of the Diabetes Translational Research Center at the Indiana University School of Medicine. Marrero’s advice: Accept that diabetes will, for the rest of your life, be there. And it’s a very treatable disease, which places few restrictions on you if you follow treatment recommendations."
For Type 2 Diabetes And Is A Truck Driver. What Foods Can He Take On The Road?,"“Preplanning and having healthy snacks at the ready are keys to helping you eat healthy on the road,” says Lisa Brown, RD, CDE, of BrownFox Solutions in Minneapolis and chair of the Academy of Nutrition and Dietetics Diabetes Care and Education practice group. Brown suggests fresh fruit, small containers or cans of fruit (no syrup), fat-free yogurt, part-skim cheese (sticks, slices, and cubes), sugar-free pudding cups, nuts (any type), whole wheat crackers or pretzels, peanut butter, baby carrots, and 100-calorie snack packs (buy them or create your own). Also, drink plenty of water and no-calorie drinks."
Why Do My Legs Hurt When I Start Walking And Stop Hurting When I Sit Down?,"You have signs of peripheral arterial disease, or PAD. “It develops when too much plaque in your arteries limits blood flow to the legs. The pain may occur while you walk because muscles need increased blood flow. The pain may stop when you sit because your muscles then require less blood flow,” says Marjorie Cypress, Ph.D., CNP, CDE, a nurse practitioner in Albuquerque and president of Health Care and Education for the American Diabetes Association. PAD increases the risk of heart attacks, strokes, and foot ulcers. Cypress suggests lowering your risks for PAD with the same advice you follow to stay healthy with diabetes."
" Why Is It Ok To Eat Fruit When It’s Full Of Carbohydrate? Are Some Fruits Better To Eat Than Others?
","The calories in all fruits (fresh, frozen, dried, and canned without added sugar) are mainly carbohydrate with a bit of protein. People with diabetes need to eat a certain amount of carbs every day for energy and essential nutrients. Healthy sources of carbs include fruits, as well as vegetables, whole grains, legumes (beans), and low-fat dairy foods."
Can I Get Rid Of Type 2 Diabetes If I Stop Eating Carbs And/or Lose A Lot Of Weight?,"No, but you can control it. If you have prediabetes or were just diagnosed with type 2, losing a lot of weight can put the condition into remission. Weight regain, aging, and the natural progression of type 2 diabetes can bring it back. “Not eating carbohydrate or severely restricting it is nearly impossible for any length of time. It’s also not healthy, because you won’t get essential nutrients,"" says JoJo Dantone, RD, CDE, a diabetes program coordinator in New Orleans."
 I Was Recently Diagnosed With Type 2 Diabetes. Do I Need To See An Endocrinologist?,"
“While diabetes is an endocrine disease and falls under the specialty of an endocrinologist, there are only 3,000 of us in the U.S. who treat diabetes,” says Nicholas Argento, M.D., an endocrinologist with Maryland Endocrine near Baltimore who has type 1 diabetes. Do the math: 25 million people have diabetes; there are not nearly enough endocrinologists. “Most people with type 2 diabetes, especially in the early years, can partner with a primary care provider who takes an active interest in their diabetes,” Argento says. Make sure your doctor keeps up-to-date and provides you with care in sync with current guidelines."
 Does A Diagnosis Of Type 2 Diabetes Mean I Will Have To Go On Insulin?,"
No. People with type 2 diabetes may or may not ever need to take insulin injections, depending on several factors, including the timing of diagnosis. Research indicates that if type 2 diabetes is treated early and blood sugar is controlled initially and over the years, the pancreas is more likely to produce enough insulin longer. But a person who lives with type 2 upward of 15 years is unlikely to continue to make sufficient insulin and will need to take it via syringe, pen, or pump."
What Should My Blood Sugar Be When I Wake Up (fasting) And Before Meals? What About After?,"For most people with diabetes, the American Diabetes Association recommends a fasting or before-meals blood glucose (or blood sugar) goal of 70–130 mg/dl. One to two hours after eating, a postprandial blood sugar reading at or under 180 mg/dl is recommended."
Is It True That Complications Of Diabetes Can Be Delayed And Even Prevented?,"
Yes! Research shows that the earlier your diabetes is diagnosed and the sooner you start to aggressively get your blood sugar, blood pressure, and cholesterol into target ranges, the healthier you can be over the years. To stay healthy and detect any complications early, make sure your health care provider orders all the tests and checks you need. Let your provider know if you have any signs or symptoms of a potential problem. Today, diabetes complications don’t need to happen. "
 Will I Need To Be On Insulin The Rest Of My Life? Why Can’t I Take Pills Instead?,"
If you have type 2 diabetes and were put on insulin, it’s likely you need it to bring your blood sugar down farther than pills could. In this case, you’ll likely need to take insulin injections the rest of your life. If, however, you started taking insulin when you had an infection, needed surgery, or were hospitalized for a medical reason, your need for insulin may be temporary. These situations raise stress, and stress can raise blood sugar levels. When the stress abates, you may be able to taper or stop taking insulin and get back to your previous medication regimen."
What Is Diabetes?,"
Diabetes means that the amount of glucose (sugar) in your blood is too high. That's why people sometimes call diabetes ""sugar"" or ""sweet blood."" Your blood always has some glucose in it because your body needs glucose for energy, but too much of it in the blood isn't good for your health."
